it_tokens_2w,n.x,...3,,
traditionally underrepresented,2,JEDI,,
transfer map,2,NA,"""The Lateral Transfer Map is designed to be an individual activity that is open to all students, independent of academic background, identity, or major...aspects of identity, including being aware of ways in which learning and identity intersect, can be included in classroom discussions around the LTMs, especially if the assignment is expanded to include extracurricular activities (in addition to courses) or if a Longitudinal Transfer Map is done, which would include past learning as well as projected future learning needs""",unsure
unbiased call,2,JEDI,,
underrepresented backgrounds,2,JEDI,,
underrepresented student,2,JEDI,,
underserved students,2,JEDI,,
unique element,2,NA,,
upon students,2,NA,,
upper division,2,NA,,
use authentic,2,JEDI,,
used successfully,2,NA,,
various backgrounds,2,JEDI,,
verbal linguistic,2,JEDI,,
videos hands,2,NA,"no. 56 - ""In addition, pedagogical approaches implemented in this laboratory lesson accommodate a variety of learning styles through the use of demonstrations, videos, hands on lab activities, mini-lectures, worksheets, and case studies""",
vision deficiency,2,JEDI,,
voices heard,2,JEDI,,
walking transects,2,NA,,
way students,2,JEDI,,
ways individual,2,JEDI,,
white students,2,JEDI,,
work individually,2,NA,,
works together,2,JEDI,,
writing assignments,2,NA,,
aaas encourages,1,NA,,
abilities experimental,1,JEDI,,
abilities match,1,JEDI,,
academic backgrounds,1,JEDI,,
academic stories,1,JEDI,,
academic strengths,1,JEDI,,
access barriers,1,JEDI,,
access discussion,1,JEDI,,
access faculty,1,JEDI,,
access information,1,JEDI,,
access sample,1,NA,,
access see,1,NA,,
access services,1,JEDI,,
access several,1,NA,,
access software,1,NA,,
access species,1,NA,,
accesses far,1,NA,,
accessibility finally,1,NA,,
accessible areas,1,JEDI,,
accessible classroom,1,JEDI,,
accessible due,1,NA,,
accessible however,1,NA,,
accessible indoor,1,JEDI,,
accommodating different,1,JEDI,,
accommodating students,1,JEDI,,
accommodating visual,1,JEDI,,
accommodations available,1,JEDI,,
accommodators perceived,1,NA,,
accomplished using,1,NA,,
accomplishments builds,1,JEDI,,
accountabilityand positive,1,NA,,"*I think accountability positive should be true, but there seems to be a read error here"
achievement levels,1,JEDI,,
acknowledge diverse,1,JEDI,,
acknowledges diversity,1,JEDI,,
across diverse,1,JEDI,,
across neighborhoods,1,JEDI,,
across personality,1,JEDI,,
across racial,1,JEDI,,
active inquiry,1,JEDI,,
active listening,1,JEDI,,
active strategies,1,JEDI,,
active student,1,JEDI,,
actively contribute,1,JEDI,,
actively encourages,1,JEDI,,
actively participating,1,JEDI,,
actively working,1,JEDI,,
activities address,1,JEDI,,
activities engage,1,JEDI,,
activities engages,1,JEDI,,
activities everyone,1,JEDI,,
activities promote,1,JEDI,,
activity assignment,1,NA,,
activity helps,1,NA,,
activity promotes,1,NA,,
activity transparency,1,JEDI,,
acutely interested,1,NA,,
ada accessibility,1,JEDI,,
ada lovelace,1,JEDI,,
adaptability allows,1,JEDI,,
adaptable active,1,JEDI,,
adapting games,1,JEDI,,
adding language,1,NA,"""Additionally, some difficult, open-ended questions have been clarified by adding language that describes successful answers""",unsure
addition diverse,1,JEDI,,
addition pedagogical,1,NA,,
addition recent,1,NA,,
addition self,1,JEDI,,
addition several,1,NA,,
addition use,1,NA,,
addition using,1,NA,,
additional benefits,1,JEDI,,
additional discussion,1,JEDI,,
additional diverse,1,JEDI,,
additional element,1,NA,,
additional information,1,NA,,
additional opportunities,1,JEDI,,
additional routes,1,JEDI,,
additional tutorials,1,NA,,
additional work,1,NA,,
additionally assigns,1,NA,,
additionally authentic,1,JEDI,,
additionally educational,1,NA,,
additionally encouraged,1,JEDI,,
additionally feedback,1,JEDI,,
additionally scientific,1,NA,,
additionally structured,1,NA,,
additionally visual,1,JEDI,,
address different,1,JEDI,,
address emerging,1,NA,,
address impacts,1,JEDI,,
address inclusive,1,JEDI,,
address inclusivity,1,JEDI,,
address misconceptions,1,JEDI,,
address parity,1,JEDI,,
address plant,1,NA,,
address puzzling,1,NA,,
address strategies,1,NA,,
address students,1,NA,,
addressed different,1,NA,,
addressed students,1,NA,,
addresses classroom,1,NA,,
addresses diversity,1,JEDI,,
addresses issues,1,JEDI,,
addresses one,1,NA,,
addresses racial,1,JEDI,,
adds value,1,JEDI,,
adjustment can,1,NA,,
advance personalized,1,NA,,
affect students,1,JEDI,,
affects members,1,JEDI,,
african americans,1,JEDI,,
african vertebrate,1,NA,,
age gender,1,JEDI,,
age race,1,JEDI,,
ages gender,1,JEDI,,
agricultural sciences,1,NA,,
aids students,1,JEDI,,
alaskan native,1,JEDI,,
allow alternatives,1,JEDI,,
allow equitable,1,JEDI,,
allow everyone,1,JEDI,,
allow individuals,1,JEDI,,
allow participation,1,JEDI,,
allowed opportunities,1,JEDI,,
allowing diverse,1,JEDI,,
allowing flexibility,1,JEDI,,
allowing individual,1,JEDI,,
allowing visually,1,JEDI,,
allows participants,1,JEDI,,
allows participation,1,JEDI,,
already economically,1,JEDI,,
also accommodating,1,JEDI,,
also address,1,NA,,
also foster,1,JEDI,,
also fostering,1,JEDI,,
also helps,1,JEDI,,
also identities,1,JEDI,,
also promotes,1,JEDI,,
also recommended,1,JEDI,,
also sharing,1,JEDI,,
also supported,1,JEDI,,
alt text,1,JEDI,,
alternate color,1,JEDI,,
alternate green,1,JEDI,,
alternate names,1,JEDI,,
alternative examples,1,JEDI,,
alternative exercises,1,NA,,
alternative formats,1,JEDI,,
alternative hands,1,NA,,
alternative may,1,NA,,
alternative means,1,JEDI,,
alternative perspectives,1,JEDI,,
alternative plans,1,NA,,
alternative viewpoints,1,JEDI,,
alternatively instructors,1,NA,,
although microbiome,1,NA,,
although students,1,NA,,
altruistic applications,1,NA,,
american alaskan,1,JEDI,,
american black,1,JEDI,,
american cultures,1,JEDI,,
american men,1,JEDI,,
american sign,1,JEDI,,
american society,1,JEDI,,
american south,1,JEDI,,
american southeast,1,JEDI,,
american west,1,JEDI,,
american woman,1,JEDI,,
american women,1,JEDI,,
among diverse,1,JEDI,,
among female,1,JEDI,,
amphibian development,1,NA,,
ample opportunities,1,NA,,
ample opportunity,1,NA,,
analysis although,1,NA,,
anatomy relevant,1,NA,,
animal communities,1,NA,,
annotation promotes,1,JEDI,,
anomalous interesting,1,NA,,
another encouraging,1,JEDI,,
another enriching,1,JEDI,,
another opportunity,1,JEDI,,
answer authentic,1,JEDI,,
answer helps,1,JEDI,,
answer individually,1,JEDI,,
answer students,1,JEDI,,
answers encouraging,1,JEDI,,
answers students,1,NA,,
anthropogenic threats,1,JEDI,,
anxiety around,1,JEDI,,
anxiety associated,1,JEDI,,
anxiety visually,1,JEDI,,
anyone feeling,1,JEDI,,
applications helps,1,JEDI,,
appreciated exercise,1,JEDI,,
appreciated given,1,JEDI,,
approach students,1,JEDI,,
appropriate interaction,1,JEDI,,
area students,1,NA,"related to JEDI, but 2 different sentences...: ""For example, when students with experience in the timber industry were shown predicted changes in tree species community structure that correlated with an increase in global temperature, they commented on the potential economic disadvantages to their area. Students living in the potato farming region of the state commented on the specifics of how fertilizers are used and the effects these chemicals have on their community over time""",
areas color,1,NA,,
arguments explain,1,NA,,
arise students,1,NA,,
around access,1,JEDI,,
around diversity,1,JEDI,,
arrangement can,1,JEDI,,
arrangements can,1,JEDI,,
arrangements instructors,1,JEDI,,
article addresses,1,NA,,
article afterward,1,NA,,
article along,1,NA,,
article chosen,1,NA,,
article prior,1,NA,,
article using,1,NA,,
articles clear,1,NA,,
articles overall,1,NA,,
articles quickly,1,NA,,
articles students,1,NA,,
articulated expectations,1,NA,,
artistic nature,1,JEDI,,
artistic skill,1,JEDI,,
artistic skills,1,JEDI,,
artistic students,1,JEDI,,
arts majors,1,JEDI,,
asian americans,1,JEDI,,
asian cultural,1,JEDI,,
ask although,1,NA,,
assembly students,1,NA,,
assessment allows,1,NA,,
assessment also,1,NA,,
assessment criteria,1,NA,,
assessment data,1,NA,,
assessment method,1,NA,,
assessment poster,1,NA,,
assessment related,1,NA,,
assessment results,1,NA,,
assessments allows,1,NA,,
assessments include,1,NA,,
assessments including,1,NA,,
assessments see,1,NA,,
assessments students,1,NA,,
assessments supporting,1,NA,,
assessments throughout,1,NA,,
assign members,1,NA,,
assign students,1,NA,,
assigned partner,1,NA,,
assignment asking,1,NA,,
assignment can,1,NA,,
assignment contained,1,NA,,
assignment description,1,NA,,
assignment encouraged,1,JEDI,,
assignment encourages,1,JEDI,,
assignment gives,1,JEDI,,
assignment instructions,1,JEDI,,
assignment prompt,1,NA,,
assignment related,1,NA,,
assignment students,1,NA,,
assignment supporting,1,JEDI,,
assignment welcoming,1,JEDI,,
assignment yet,1,NA,,
assignments building,1,JEDI,,
assignments can,1,JEDI,,
assignments directly,1,NA,,
assignments however,1,NA,,
assignments may,1,NA,,
assignments outside,1,NA,,
assignments provides,1,JEDI,,
assignments sessions,1,NA,,
assignments students,1,JEDI,,
assignments supporting,1,JEDI,,
assigns students,1,NA,,
assistive device,1,JEDI,,
assists students,1,JEDI,,
assume perspectives,1,JEDI,,
assurance assignment,1,NA,,
attitude towards,1,JEDI,,
attitudes towards,1,JEDI,,
audiovisual media,1,JEDI,,
auditory delivery,1,JEDI,,
auditory learners,1,JEDI,,
auditory sensory,1,JEDI,,
authentic assessment,1,JEDI,,
authentic assessments,1,JEDI,,
authentic microbiology,1,JEDI,,
authentic practices,1,JEDI,,
authentic questions,1,JEDI,,
authentic scientific,1,JEDI,,
author backgrounds,1,JEDI,,
authoritative websites,1,JEDI,,
authors students,1,JEDI,,
available students,1,JEDI,,
avoid bias,1,JEDI,,
avoiding disadvantaging,1,JEDI,,
avoids exclusion,1,JEDI,,
awareness can,1,JEDI,,
awareness disparity,1,JEDI,,
awareness empathy,1,JEDI,,
background therefore,1,JEDI,,
backgrounds demonstrating,1,JEDI,,
backgrounds engage,1,JEDI,,
backgrounds engaged,1,JEDI,,
backgrounds ethnicities,1,JEDI,,
backgrounds find,1,JEDI,,
backgrounds furthermore,1,JEDI,,
backgrounds learning,1,JEDI,,
backgrounds may,1,JEDI,,
backgrounds needs,1,JEDI,,
backgrounds often,1,JEDI,,
backgrounds perspectives,1,JEDI,,
balanced teams,1,JEDI,,
barriers giving,1,JEDI,,
barriers students,1,JEDI,,
based access,1,JEDI,,
based cooperative,1,JEDI,,
based phenomena,1,NA,,
basic health,1,NA,,
bean color,1,NA,,
become engaged,1,JEDI,,
become part,1,JEDI,,
becoming comfortable,1,JEDI,,
beliefs related,1,JEDI,,
beliefs toward,1,JEDI,,
benefit students,1,JEDI,,
benefits students,1,JEDI,,
best complemented,1,JEDI,,
best experimental,1,NA,,
better engage,1,JEDI,,
better inclusion,1,JEDI,,
bias accessibility,1,JEDI,,
bias can,1,JEDI,,
bilingual american,1,JEDI,,
bilingual deaf,1,JEDI,,
binary variable,1,JEDI,,
biodiversify website,1,JEDI,,
biodiversity database,1,JEDI,,
biodiversity lab,1,NA,,
biodiversity losses,1,NA,,
biointeractive students,1,NA,,
biological cultural,1,JEDI,,
biological females,1,JEDI,,
biological males,1,JEDI,,
biological phenomena,1,NA,,
