Title;DOI;Article Type?;Year;Courses:;keyword themes;Inclusive Teaching  included?;Word Count of Inclusive Teaching?;Attended Workshop?;article_num;Group Year;it_tokens_3w;dei_related
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;might not otherwise;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;think pair share;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;pair share activities;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;writing via quick;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;via quick writes;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;different roles producing;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;roles producing giving;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;producing giving feedback;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;giving feedback revising;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;feedback revising within;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;participate fully using;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;inclusive teaching laid;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;collaborative teaching strategies;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;student conceived norms;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;introduced challenging descriptions;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;interest drive motivation;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;natural science including;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;life sciences based;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;research interests students;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;interests students formed;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;students formed groups;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;strengths became immediately;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;became immediately clear;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;lesson explicitly addresses;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;still not universal;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;not universal see;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;universal see diversity;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;also gained agency;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;exploration group work;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;group work can;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;recommend using smaller;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;using smaller groups;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;students within groups;FALSE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;also recommend forming;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;recommend forming groups;TRUE
Diversifying and Humanizing Scientist Role Models Through Interviews and Constructing Slide Decks on Researchers’ Research and Life Experiences;https://doi.org/10.24918/cs.2022.1;Lesson;2022;proffessional development and career planning, science process skills;research, diversity, inclusion, Scientific Process, Representation, Scientist, Role Models;yes;528;NA;256;2019 - 2022;whenever possible groups;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;lesson employs instructional;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;employs instructional materials;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;students can work;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;individual backgrounds needs;TRUE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;backgrounds needs learning;TRUE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;needs learning abilities;TRUE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;styles poppitmeiosis encourages;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;poppitmeiosis encourages learning;TRUE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;can quickly engage;TRUE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;task poppitmeiosis thus;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;poppitmeiosis thus naturally;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;thus naturally creates;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;thereby enhances appreciation;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;sexually reproducing organisms;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;reproducing organisms plants;FALSE
Meiosis Remodeled: Inclusion of New Parts to Poppit Bead Models Enhances Understanding of Meiosis;https://doi.org/10.24918/cs.2022.2;Lesson;2022;cell biology, genetics, introduction biology;meiosis, chiasma formation, chromosome recombination;Yes;163;NA;255;2019 - 2022;organisms plants animals;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;high throughput datass;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;potential case studies;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;case studies can;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;screen reader friendly;TRUE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;editable electronic documents;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;used google docs;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;virtually often asynchronously;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;multiple potential responses;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;foster productive discussions;TRUE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;future experiments prompting;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;experiments prompting students;TRUE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;high throughput technologies;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;example see supporting;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;see supporting file;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;organelle shape matter;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;shape matter teaching;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;matter teaching notes;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;teaching notes additionally;FALSE
Does Organelle Shape Matter?: Exploring Patterns in Cell Shape and Structure with High-Throughput (HT) Imaging;https://doi.org/10.24918/cs.2022.3;Lesson;2022;Biochemistry and Molecular Biology, Bioinformatics, Cell Biology, Genetics, Science Process Skills;modeling, case study, microscopy, structure, Organelles, High-throughput (HT), Endoplasmic Reticulum (ER), Fluorescent microscopy, Human Cell Biology;Yes;207;NA;254;2019 - 2022;accomplished using several;FALSE
